Runs,Spillover,TriangleBenefit,NumShocked,WhichLayerShocked,OneLayerOnly,PreCost,PostCost
1,0.9,0.9,2,1,1,0.2,0.6
1,0.9,0.9,2,2,0,0.2,0.2
1,0.9,0.9,2,2,1,0.2,0.6
2,0.9,0.9,2,3,0,0.2,0.2
2,0.9,0.9,2,3,0,0.2,0.6
1,0.9,0.3,2,1,0,0.2,0.2
1,0.9,0.3,2,1,1,0.2,0.6
2,0.9,0.3,2,1,0,0.6,0.6
1,0.9,0.3,2,1,1,0.6,0.2
2,0.9,0.3,2,2,0,0.6,0.6
1,0.9,0.3,2,2,1,0.6,0.2
2,0.9,0.3,2,3,0,0.6,0.6
2,0.9,0.3,2,3,0,0.6,0.2
1,0.9,0.3,2,2,0,0.2,0.2
1,0.9,0.3,4,1,0,0.6,0.6
1,0.9,0.3,2,2,1,0.2,0.6
1,0.9,0.3,4,1,1,0.6,0.2
1,0.9,0.3,4,2,0,0.6,0.6
1,0.9,0.3,4,2,1,0.6,0.2
3,0.9,0.3,4,3,0,0.6,0.6
2,0.9,0.3,4,3,0,0.6,0.2
2,0.9,0.3,2,3,0,0.2,0.2
2,0.9,0.3,2,3,0,0.2,0.6
1,0.9,0.9,2,1,0,0.2,0.2
1,0.9,0.3,4,1,0,0.2,0.2
1,0.9,0.3,4,1,1,0.2,0.6
1,0.9,0.3,4,2,0,0.2,0.2
1,0.9,0.3,4,2,1,0.2,0.6
2,0.9,0.3,4,3,0,0.2,0.2
2,0.9,0.3,4,3,0,0.2,0.6
1,0.9,0.9,4,1,0,0.2,0.2
1,0.9,0.9,4,1,1,0.2,0.6
1,0.9,0.9,4,2,0,0.2,0.2
1,0.9,0.9,4,2,1,0.2,0.6
2,0.9,0.9,4,3,0,0.2,0.2
2,0.9,0.9,4,3,0,0.2,0.6
1,0.9,0.9,2,1,0,0.6,0.6
1,0.9,0.9,2,1,1,0.6,0.2
1,0.9,0.9,2,2,0,0.6,0.6
1,0.9,0.9,2,2,1,0.6,0.2
2,0.9,0.9,2,3,0,0.6,0.6
2,0.9,0.9,2,3,0,0.6,0.2
1,0.9,0.9,4,1,0,0.6,0.6
1,0.9,0.9,4,1,1,0.6,0.2
1,0.9,0.9,4,2,0,0.6,0.6
1,0.9,0.9,4,2,1,0.6,0.2
2,0.9,0.9,4,3,0,0.6,0.2
1,0.9,0.9,4,3,0,0.6,0.6
