Runs,Spillover,TriangleBenefit,NumShocked,WhichLayerShocked,OneLayerOnly,PreCost,PostCost
2,0.9,0.3,2,,0,0.2,0.2
1,0.9,0.3,2,0,1,0.2,0.2
1,0.9,0.3,2,1,1,0.2,0.2
2,0.9,0.9,2,,0,0.2,0.2
1,0.9,0.9,2,0,1,0.2,0.2
1,0.9,0.9,2,1,1,0.2,0.2
2,0.9,0.3,4,,0,0.2,0.2
1,0.9,0.3,4,0,1,0.2,0.2
1,0.9,0.3,4,1,1,0.2,0.2
2,0.9,0.9,4,,0,0.2,0.2
1,0.9,0.9,4,0,1,0.2,0.2
1,0.9,0.9,4,1,1,0.2,0.2
2,0.9,0.3,2,,0,0.2,0.6
1,0.9,0.3,2,0,1,0.2,0.6
1,0.9,0.3,2,1,1,0.2,0.6
2,0.9,0.9,2,,0,0.2,0.6
1,0.9,0.9,2,0,1,0.2,0.6
1,0.9,0.9,2,1,1,0.2,0.6
2,0.9,0.3,4,,0,0.2,0.6
1,0.9,0.3,4,0,1,0.2,0.6
1,0.9,0.3,4,1,1,0.2,0.6
2,0.9,0.9,4,,0,0.2,0.6
1,0.9,0.9,4,0,1,0.2,0.6
1,0.9,0.9,4,1,1,0.2,0.6
2,0.9,0.3,2,,0,0.6,0.2
1,0.9,0.3,2,0,1,0.6,0.2
1,0.9,0.3,2,1,1,0.6,0.2
2,0.9,0.9,2,,0,0.6,0.2
1,0.9,0.9,2,0,1,0.6,0.2
1,0.9,0.9,2,1,1,0.6,0.2
2,0.9,0.3,4,,0,0.6,0.2
1,0.9,0.3,4,0,1,0.6,0.2
1,0.9,0.3,4,1,1,0.6,0.2
2,0.9,0.9,4,,0,0.6,0.2
1,0.9,0.9,4,0,1,0.6,0.2
1,0.9,0.9,4,1,1,0.6,0.2
2,0.9,0.3,2,,0,0.6,0.6
2,0.9,0.3,2,0,1,0.6,0.6
2,0.9,0.3,2,1,1,0.6,0.6
2,0.9,0.9,2,,0,0.6,0.6
1,0.9,0.9,2,0,1,0.6,0.6
1,0.9,0.9,2,1,1,0.6,0.6
3,0.9,0.3,4,,0,0.6,0.6
1,0.9,0.3,4,0,1,0.6,0.6
1,0.9,0.3,4,1,1,0.6,0.6
1,0.9,0.9,4,,0,0.6,0.6
1,0.9,0.9,4,0,1,0.6,0.6
1,0.9,0.9,4,1,1,0.6,0.6
